fighters
Amanda Ribas
Asu Almabayev
Billy Elekana
Bogdan Guskov
Bryce Mitchell
Carlos Leal
Da'Mon Blackshear
Davey Grant
Ibo Aslan
Jose Ochoa
Marc-André Barriault
Marcus Almeida
Marcus McGhee
Martin Buday
Mohammad Yahya
Muslim Salikhov
Nikita Krylov
Petr Yan
Reinier de Ridder
Robert Whittaker
Said Nurmagomedov
Shara Magomedov
Steven Nguyen
Tabatha Ricci
