Name,Division Tr,Division Rk,Wins by Kn,Wins by Su,First Roun,Wins by De,Striking ac,Sig. Strike,Takedownr,Sig. Str. La,Sig. Str. At,Submissio,Sig. Str. De,Knockdow,Average Sig,Event_1_H,Event_1_D,Event_1_R,Event_1_Ti,Event_1_M,Event_2_H,Event_2_D,Event_2_R,Event_2_Ti,Event_2_M,Event_3_H,Event_3_D,Event_3_R,Event_3_Ti,Event_3_M,Status,Place_ct,Fighting_s,Age,Height,Weight,Octagon_Reach,Leg_reach,Reach,Trains_at,Fight,Win,Title,Defeat,Former Champion
AdrianoSantos,Middleweight,,0,0,0,0,44.7,21,2,21,47,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,
AdrianDiaz,Featherweight,,0,0,0,0,66.7,10,1,10,15,0,,0,,,,,,,,,,,,,,,,,Active,,,37.0,"5' 10""",145 lbs,,,,Team Alpha Male,,,,,
AdrianSerrano,,,0,0,0,0,69.6,55,0,55,79,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,
AdrianYanez,Bantamweight,,0,0,0,0,42.0,432,0,432,1029,0,,7,,,,,,,,,,,,,,,,,Active,,,31.0,"5' 7""",136 lbs,,,"70""",Metro Fight Club,,,,,
AhejiangAilinuer,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,"5' 10""",145 lbs,,,"70""",,,,,,
AhmadHassanzada,Lightweight,,0,0,0,0,51.6,132,4,132,256,0,,0,,,,,,,,,,,,,,,,,Active,,,28.0,"6' 1""",155 lbs,,,"75""",Team Alpha Male,,,,,
AiemannZahabi,Featherweight,,0,0,0,0,47.6,485,1,485,1019,0,,3,,,,,,,,,,,,,,,,,Active,,,37.0,"5' 8""",142 lbs,,,"68.5""",TriStar Gym,,,,,
AilinPerez,Women's Bantamweight,,0,0,0,0,65.6,462,23,462,704,0,,1,,,,,,,,,,,,,,,,,Active,,,30.0,"5' 5""",135 lbs,,,"66""",The Goat Shed,,,,,
AislingDaly,Women's Strawweight,,0,0,0,0,71.3,268,5,268,376,0,,0,,,,,,,,,,,,,,,,,Active,,,37.0,"5' 3""",115 lbs,,,"64""",,,,,,
AJCunningham,Bantamweight,,0,0,0,0,29.7,124,0,124,417,0,,0,,,,,,,,,,,,,,,,,Active,,,30.0,"5' 10""",136 lbs,,,"71""",Law School MMA,,,,,
