Name,Division_Title,Division_Record,Status,Age,Height,Weight,Reach,Leg_Reach,Octagon_Reach,Trains_at,Fighting_Style,Total_Fights,Wins,Losses,Draws,Win_Percentage,Title_Defenses,Former_Champion,Fight_Win_Streak,Octagon_Debut,Wins_by_KO_TKO,Wins_by_SUB,Wins_by_DEC,First_Round_Wins,Sig_Strikes_Landed,Sig_Strikes_Attempted,Striking_Accuracy,Striking_Defense,Sig_Strikes_Landed_Per_Min,Sig_Strikes_Absorbed_Per_Min,Average_Sig_Strikes,Sig_Strikes_Head_Pct,Sig_Strikes_Body_Pct,Sig_Strikes_Leg_Pct,Takedowns_Landed,Takedowns_Attempted,Takedown_Accuracy,Takedown_Defense,Takedown_Avg_Per_15_Min,Submissions,Submission_Avg_Per_15_Min,Knockdowns,Knockdown_Avg,Average_Fight_Time,Control_Time,Event_1_Headline,Event_1_Date,Event_1_Result,Event_1_Time,Event_1_Method,Event_2_Headline,Event_2_Date,Event_2_Result,Event_2_Time,Event_2_Method,Event_3_Headline,Event_3_Date,Event_3_Result,Event_3_Time,Event_3_Method,Country,Place_of_Birth,Nickname,Stance,Birth_Date,Team,KO_TKO_Wins,Submission_Wins,Decision_Wins,Total_Control_Time,Total_Advancements,Total_Reversals,Total_Slams,Distance_Strikes,Clinch_Strikes,Ground_Strikes,Head_Strikes,Body_Strikes,Leg_Strikes,UFC_Debut_Date,Title_Fight_Record,Main_Event_Record,Fight_of_Night_Awards,Performance_of_Night_Awards
BrianStann,Light Heavyweight Division,nan-nan,Active,44.0,"6' 1""",205 lbs,"74""",,,Jackson-Wink MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,602,1066,56.5,43.5,602.0,,,,,,0,0,0,0,0.0,0,0.0,7,105.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BristolMarunde,Welterweight Division,nan-nan,Active,43.0,"6' 1""",170 lbs,"71""",,,Throwdown ,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,29,110,26.4,73.6,29.0,,,,,,3,0,0,0,45.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrockJardine,Welterweight Division,nan-nan,Active,39.0,"5' 11""",185 lbs,"73""",,,The Pit Elevated Fight Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,22,66,33.3,66.7,22.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrockLarson,Catchweight Division,nan-nan,Active,47.0,"5' 11""",170 lbs,"71""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,164,255,64.3,35.7,164.0,,,,,,9,0,0,0,135.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrockLesnar,Heavyweight Division,nan-nan,Active,47.0,"6' 3""",265 lbs,"81""",,,Team DeathClutch,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,456,553,82.5,17.5,456.0,,,,,,15,0,0,0,225.0,0,0.0,2,30.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrodieFarber,Catch Weight Division,nan-nan,Active,,"6' 1""",170 lbs,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,32,65,49.2,50.8,32.0,,,,,,1,0,0,0,15.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BroganWalker,Women's Flyweight Division,nan-nan,Active,36.0,"5' 4""",125 lbs,"67""",,,Purebred BJJ Guam,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,83,223,37.2,62.8,83.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrokWeaver,nan Division,nan-nan,Active,,,,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrunaBrasil,Women's Strawweight Division,nan-nan,Active,31.0,"5' 6""",125 lbs,"65.5""",,,Fighting Nerds,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,312,483,64.6,35.4,312.0,,,,,,8,0,0,0,120.0,0,0.0,1,15.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrunnoFerreira,Middleweight Division,nan-nan,Active,32.0,"5' 10""",186 lbs,"72""",,,Brazilian TKO,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,169,323,52.3,47.7,169.0,,,,,,4,0,0,0,60.0,0,0.0,4,60.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrunoAssis,Middleweight Division,nan-nan,Active,33.0,"6' 2""",185 lbs,"78""",,,American Top Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrunoKorea,Flyweight Division,nan-nan,Active,33.0,"5' 6""",125 lbs,"65""",,,Tata Fight Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,52,112,46.4,53.6,52.0,,,,,,0,0,0,0,0.0,0,0.0,1,15.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrunoLopes,Light Heavyweight Division,nan-nan,Active,32.0,"6' 2""",206 lbs,"74""",,,011 MMA Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,126,254,49.6,50.4,126.0,,,,,,5,0,0,0,75.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrunoOliveira dos Santos,Featherweight Division,nan-nan,Active,31.0,"5' 7""",145 lbs,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,0.0,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrunoOliveira dos Santos,Featherweight Division,nan-nan,Active,31.0,"5' 7""",145 lbs,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,0.0,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrunoSilva,Middleweight Division,nan-nan,Active,35.0,"6' 0""",187 lbs,"74""",,,Evolucao Thai,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,489,910,53.7,46.3,489.0,,,,,,5,0,0,0,75.0,0,0.0,2,30.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrunoSouza Silva,Welterweight Division,nan-nan,Active,32.0,"5' 10""",170 lbs,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BryanBarberena,Welterweight Division,nan-nan,Active,36.0,"6' 0""",186 lbs,"72.5""",,,Gym-O,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,1969,3308,59.5,40.5,1969.0,,,,,,2,0,0,0,30.0,0,0.0,6,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BryanBattle,Middleweight Division,nan-nan,Active,30.0,"6' 1""",175 lbs,"77""",,,Carolina Combat Sports & Fitness,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,526,912,57.7,42.3,526.0,,,,,,4,0,0,0,60.0,0,0.0,2,30.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BryanCaraway,Bantamweight Division,nan-nan,Active,40.0,"5' 8""",135 lbs,"68""",,,Xtreme Couture,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,649,1310,49.5,50.5,649.0,,,,,,19,0,0,0,285.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BryceMitchell,Bantamweight Division,nan-nan,Active,30.0,"5' 10""",136 lbs,"70""",,,Barata MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,745,1030,72.3,27.7,745.0,,,,,,30,0,0,0,450.0,0,0.0,1,15.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BubbaBush,Middleweight Division,nan-nan,Active,39.0,"6' 0""",185 lbs,"73.5""",,,Brazos Valley MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,33,45,73.3,26.7,33.0,,,,,,3,0,0,0,45.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BubbaMcDaniel,nan Division,nan-nan,Active,42.0,"6' 3""",205 lbs,"75""",,,Jackson-Wink MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,136,205,66.3,33.7,136.0,,,,,,2,0,0,0,30.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BuddyRoberts,Middleweight Division,nan-nan,Active,42.0,"6' 2""",185 lbs,,,,Jackson-Wink MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,101,198,51.0,49.0,101.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ByronBloodworth,Bantamweight Division,nan-nan,Active,41.0,"5' 8""",135 lbs,"69""",,,Iron Clutch Fitness,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,30,93,32.3,67.7,30.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJKeith,Lightweight Division,nan-nan,Active,38.0,"6' 0""",155 lbs,,,,Pro Buhawe,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CainCarrizosa,Lightweight Division,nan-nan,Active,38.0,"6' 0""",155 lbs,"74""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CainVelasquez,Heavyweight Division,nan-nan,Active,42.0,"6' 1""",248 lbs,"77""",,,AKA (American Kickboxing Academy),Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,1465,2111,69.4,30.6,1465.0,,,,,,34,0,0,0,510.0,0,0.0,10,150.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaioBittencourt,Middleweight Division,nan-nan,Active,34.0,"6' 0""",185 lbs,"75""",,,Roxo Strike Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,10,15,66.7,33.3,10.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaioBorralho,Middleweight Division,nan-nan,Active,32.0,"6' 1""",186 lbs,"75""",,,Fighting Nerds,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,627,947,66.2,33.8,627.0,,,,,,12,0,0,0,180.0,0,0.0,4,60.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaioMachado,Light Heavyweight Division,nan-nan,Active,30.0,"6' 4""",205 lbs,"78""",,,FKP MMA Vancouver,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,415,722,57.5,42.5,415.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaioMagalhaes,Middleweight Division,nan-nan,Active,37.0,"6' 1""",185 lbs,"73""",,,Teixeira MMA & Fitness,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CalenBorn,Welterweight Division,nan-nan,Active,37.0,"5' 8""",170 lbs,"72""",,,Chute Boxe,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaleYarbrough,Light Heavyweight Division,nan-nan,Active,,,205 lbs,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,6,22,27.3,72.7,6.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CallanPotter,Featherweight Division,nan-nan,Active,41.0,"6' 0""",170 lbs,"72""",,,Renegade MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,138,219,63.0,37.0,138.0,,,,,,4,0,0,0,60.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CalvinKattar,Featherweight Division,nan-nan,Active,37.0,"5' 11""",146 lbs,"72""",,,New England Cartel,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,1063,2666,39.9,60.1,1063.0,,,,,,5,0,0,0,75.0,0,0.0,5,75.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CalWorsham,nan Division,nan-nan,Active,,,,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,0.0,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CameronChurch,Lightweight Division,nan-nan,Active,34.0,"5' 11""",155 lbs,"72""",,,Escobar Training Grounds,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,97,201,48.3,51.7,97.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CameronDollar,Lightweight Division,nan-nan,Active,38.0,"5' 11""",145 lbs,,,,Colorado Fight Factory,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CameronElse,Bantamweight Division,nan-nan,Active,38.0,"5' 9""",135 lbs,"71""",,,Jackson-Wink MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CameronOlson,Light Heavyweight Division,nan-nan,Active,35.0,"6' 1""",205 lbs,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CameronSaaiman,Bantamweight Division,nan-nan,Active,24.0,"5' 8""",135 lbs,"67""",,,CIT Performance Institute,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,481,904,53.2,46.8,481.0,,,,,,4,0,0,0,60.0,0,0.0,2,30.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CameronSmotherman,Bantamweight Division,nan-nan,Active,27.0,"5' 9""",136 lbs,"69""",,,Metro Fight Club,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,195,512,38.1,61.9,195.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CameronVanCamp,Lightweight Division,nan-nan,Active,32.0,"6' 2""",155 lbs,"74""",,,Indy Boxing & Grappling,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,34,71,47.9,52.1,34.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CamRowston,Middleweight Division,nan-nan,Active,30.0,"6' 2""",184 lbs,"78""",,,City Kickboxing,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanaanKawaihae,Featherweight Division,nan-nan,Active,27.0,"6' 0""",145 lbs,"71""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaolánLoughran,Bantamweight Division,nan-nan,Active,29.0,"5' 6""",136 lbs,"68""",,,Team Kaobon,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,351,768,45.7,54.3,351.0,,,,,,12,0,0,0,180.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaolUno,Featherweight Division,nan-nan,Active,50.0,"5' 7""",145 lbs,"70""",,,Freelance,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarlaEsparza,Women's Strawweight Division,nan-nan,Active,37.0,"5' 1""",115 lbs,"63""",,,Team Oyama,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,1352,2153,62.8,37.2,1352.0,,,,,,47,0,0,0,705.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarliJudice,Women's Flyweight Division,nan-nan,Active,26.0,"5' 7""",125 lbs,"68""",,,Headkicks MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,502,936,53.6,46.4,502.0,,,,,,2,0,0,0,30.0,0,0.0,2,30.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarlosCandelario,Flyweight Division,nan-nan,Active,34.0,"5' 8""",128 lbs,"68""",,,Underdog BJJ,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,310,570,54.4,45.6,310.0,,,,,,8,0,0,0,120.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarlosCondit,Welterweight Division,nan-nan,Active,41.0,"6' 2""",171 lbs,"75.5""",,,Jackson-Wink MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,1723,3316,52.0,48.0,1723.0,,,,,,9,0,0,0,135.0,0,0.0,6,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos EduardoRocha,Welterweight Division,nan-nan,Active,43.0,"5' 10""",170 lbs,"70""",,,Team Nogueira,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarlosFelipe,Heavyweight Division,nan-nan,Active,30.0,"6' 0""",259 lbs,"75""",,,Life MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarlosHernandez,Flyweight Division,nan-nan,Active,31.0,"5' 8""",126 lbs,"67""",,,Valle Flow Striking,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,379,799,47.4,52.6,379.0,,,,,,9,0,0,0,135.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarlosHuachin,Bantamweight Division,nan-nan,Active,29.0,"5' 5""",135 lbs,"67""",,,Pitbull Martial Arts Center,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarlosLeal,Welterweight Division,nan-nan,Active,31.0,"5' 11""",170 lbs,"74""",,,Thai Brasil,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,232,424,54.7,45.3,232.0,,,,,,1,0,0,0,15.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarlosMota,nan Division,nan-nan,Active,30.0,"5' 6""",125 lbs,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarlosNewton,Middleweight Division,nan-nan,Active,,,,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,129,202,63.9,36.1,129.0,,,,,,10,0,0,0,150.0,0,0.0,2,30.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarlosPrates,Welterweight Division,nan-nan,Active,31.0,"6' 1""",171 lbs,"78""",,,Fighting Nerds,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,215,394,54.6,45.4,215.0,,,,,,1,0,0,0,15.0,0,0.0,8,120.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarlosUlberg,Light Heavyweight Division,nan-nan,Active,34.0,"6' 4""",205 lbs,"77""",,,City Kickboxing,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,540,966,55.9,44.1,540.0,,,,,,3,0,0,0,45.0,0,0.0,6,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarlosVera,Bantamweight Division,nan-nan,Active,37.0,"5' 6""",136 lbs,"69""",,,Fifty/50 Martial Arts Academy,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,73,105,69.5,30.5,73.0,,,,,,0,0,0,0,0.0,0,0.0,1,15.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarloPedersoli Jr.,Welterweight Division,nan-nan,Active,32.0,"5' 11""",170 lbs,"75""",,,Aurora MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarloPrater,Lightweight Division,nan-nan,Active,44.0,"6' 0""",155 lbs,"72""",,,Thugjitsu ,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarlstonHarris,Welterweight Division,nan-nan,Active,38.0,"6' 0""",170 lbs,"76""",,,Renovacao Fight Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,296,570,51.9,48.1,296.0,,,,,,5,0,0,0,75.0,0,0.0,2,30.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarlsJohn de Tomas,Flyweight Division,nan-nan,Active,28.0,"5' 7""",135 lbs,"71.5""",,,De Tomas MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarltonMinus,Welterweight Division,nan-nan,Active,32.0,"5' 10""",145 lbs,"75""",,,Avalanche Wrestling Association,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarlDeaton,Lightweight Division,nan-nan,Active,35.0,"5' 7""",155 lbs,"69""",,,The Academy MN,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,52,141,36.9,63.1,52.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarmeloMarrero,nan Division,nan-nan,Active,44.0,"6' 2""",205 lbs,"73""",,,American Top Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,97,157,61.8,38.2,97.0,,,,,,6,0,0,0,90.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarosFodor,Lightweight Division,nan-nan,Active,41.0,"5' 9""",155 lbs,"74""",,,AMC Pankration,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,80,127,63.0,37.0,80.0,,,,,,3,0,0,0,45.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarreseArcher,Welterweight Division,nan-nan,Active,35.0,"6' 0""",170 lbs,,,,Team Bodyshop,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaseyKenney,Bantamweight Division,nan-nan,Active,34.0,"5' 7""",136 lbs,"68""",,,MMA LAB,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,722,1632,44.2,55.8,722.0,,,,,,10,0,0,0,150.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaseyO'Neill,Women's Flyweight Division,nan-nan,Active,27.0,"5' 6""",125 lbs,"69""",,,Fight Ready,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,948,1599,59.3,40.7,948.0,,,,,,8,0,0,0,120.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CathalPendred,Welterweight Division,nan-nan,Active,37.0,"6' 2""",170 lbs,"75""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,248,481,51.6,48.4,248.0,,,,,,12,0,0,0,180.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CatZingano,Women's Bantamweight Division,nan-nan,Active,42.0,"5' 6""",145 lbs,"68""",,,Zingano BJJ,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBDollaway,Middleweight Division,nan-nan,Active,41.0,"6' 2""",185 lbs,"76""",,,Power MMA Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
