Name,Division Tr,Division Rk,Wins by Kn,Wins by Su,First Roun,Wins by De,Striking ac,Sig. Strike,Takedownr,Sig. Str. La,Sig. Str. At,Submissio,Sig. Str. De,Knockdow,Average Sig,Event_1_H,Event_1_D,Event_1_R,Event_1_Ti,Event_1_M,Event_2_H,Event_2_D,Event_2_R,Event_2_Ti,Event_2_M,Event_3_H,Event_3_D,Event_3_R,Event_3_Ti,Event_3_M,Status,Place_ct,Fighting_s,Age,Height,Weight,Octagon_Reach,Leg_reach,Reach,Trains_at,Fight,Win,Title,Defeat,Former Champion,Division_Title,Division_Record,Sig_Str_Landed_Per_Min,Sig_Str_Absorbed_Per_Min,Takedown_Avg_Per_15_Min,Submission_Avg_Per_15_Min,Sig_Str_Defense,Takedown_Defense,Knockdown_Avg,Average_Fight_Time,Win_by_KO_TKO,Win_by_DEC,Win_by_SUB,Sig_Str_Head_Pct,Sig_Str_Body_Pct,Sig_Str_Leg_Pct,Fight_Win_Streak,Title_Defenses,Former_Champion,Octagon_Debut,Fighting_Style
AbuAzaitar,Middleweight,,0,0,0,0,56.9,364,3,364,640,0,,0,,,,,,,,,,,,,,,,,Active,,,39.0,"5' 9""",186 lbs,,,"76""",Combat Club Cologne,,,,,,Middleweight Division,nan-nan,364.0,,45.0,0.0,43.1,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AcácioDos Santos,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33.0,"6' 4""",201 lbs,,,"79""",Power Lotus Team,,,,,,Light Heavyweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AchillesEstremadura,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33.0,"5' 10""",156 lbs,,,"68""",Axe Capoeira Vancouver,,,,,,Lightweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AdamAntolin,Flyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,43.0,"5' 5""",125 lbs,,,"63""",AKA (American Kickboxing Academy),,,,,,Flyweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AdamCella,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,40.0,"6' 2""",170 lbs,,,"78""",Finney's HIT Squad,,,,,,Welterweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AdamFugitt,Welterweight,,0,0,0,0,48.5,215,5,215,443,0,,0,,,,,,,,,,,,,,,,,Active,,,36.0,"6' 1""",171 lbs,,,"77""",Fight Ready,,,,,,Welterweight Division,nan-nan,215.0,,75.0,0.0,51.5,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AdamHunter,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,41.0,"6' 1""",185 lbs,,,"73""",Synergy Fight Team,,,,,,Middleweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AdamKhaliev,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,41.0,"5' 10""",170 lbs,,,,,,,,,,Welterweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AdamMilstead,Light Heavyweight,,0,0,0,0,51.5,156,0,156,303,0,,0,,,,,,,,,,,,,,,,,Active,,,37.0,"6' 3""",205 lbs,,,"76""",Pittsburgh Fight Club,,,,,,Light Heavyweight Division,nan-nan,156.0,,0.0,0.0,48.5,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AdamWieczorek,Heavyweight,,0,0,0,0,53.2,118,1,118,222,0,,0,,,,,,,,,,,,,,,,,Active,,,33.0,"6' 5""",250 lbs,,,"81""",AKS Chorzow,,,,,,Heavyweight Division,nan-nan,118.0,,15.0,0.0,46.8,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
