Name,Division Tr,Division Rk,Wins by Kn,Wins by Su,First Roun,Wins by De,Striking ac,Sig. Strike,Takedownr,Sig. Str. La,Sig. Str. At,Submissio,Sig. Str. De,Knockdow,Average Sig,Event_1_H,Event_1_D,Event_1_R,Event_1_Ti,Event_1_M,Event_2_H,Event_2_D,Event_2_R,Event_2_Ti,Event_2_M,Event_3_H,Event_3_D,Event_3_R,Event_3_Ti,Event_3_M,Status,Place_ct,Fighting_s,Age,Height,Weight,Octagon_Reach,Leg_reach,Reach,Trains_at,Fight,Win,Title,Defeat,Former Champion,Division_Title,Division_Record,Sig_Str_Landed_Per_Min,Sig_Str_Absorbed_Per_Min,Takedown_Avg_Per_15_Min,Submission_Avg_Per_15_Min,Sig_Str_Defense,Takedown_Defense,Knockdown_Avg,Average_Fight_Time,Win_by_KO_TKO,Win_by_DEC,Win_by_SUB,Sig_Str_Head_Pct,Sig_Str_Body_Pct,Sig_Str_Leg_Pct,Fight_Win_Streak,Title_Defenses,Former_Champion,Octagon_Debut,Fighting_Style
ChrisIndich,Welterweight,,0,0,0,0,43.9,47,1,47,107,0,,0,,,,,,,,,,,,,,,,,Active,,,38.0,"5' 10""",170 lbs,,,"73""",The Arena,,,,,,Welterweight Division,nan-nan,47.0,,15.0,0.0,56.1,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ChrisKelades,Flyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,44.0,"5' 7""",135 lbs,,,"68""",Fit Plus,,,,,,Flyweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ChrisLeben,Middleweight,,0,0,0,0,67.9,1791,17,1791,2637,0,,5,,,,,,,,,,,,,,,,,Active,,,44.0,"5' 11""",185 lbs,,,"73""",Icon Fitness MMA,,,,,,Middleweight Division,nan-nan,1791.0,,255.0,0.0,32.1,0,75.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ChrisLytle,Welterweight,,0,0,0,0,58.8,1533,9,1533,2606,0,,2,,,,,,,,,,,,,,,,,Active,,,50.0,"5' 11""",170 lbs,,,"68""",,,,,,,Welterweight Division,nan-nan,1533.0,,135.0,0.0,41.2,0,30.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ChrisPadilla,Lightweight,,0,0,0,0,61.2,175,3,175,286,0,,0,,,,,,,,,,,,,,,,,Active,,,29.0,"5' 9""",155 lbs,,,"74""",Fight Science MMA,,,,,,Lightweight Division,nan-nan,175.0,,45.0,0.0,38.8,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ChrisSanford,Middleweight,,0,0,0,0,75.0,3,0,3,4,0,,0,,,,,,,,,,,,,,,,,Active,,,,"5' 8""",198 lbs,,,,,,,,,,Middleweight Division,nan-nan,3.0,,0.0,0.0,25.0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ChrisSaunders,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,39.0,"5' 8""",155 lbs,,,"69""",,,,,,,Lightweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ChrisSpang,Welterweight,,0,0,0,0,31.6,24,0,24,76,0,,0,,,,,,,,,,,,,,,,,Active,,,37.0,"6' 2""",170 lbs,,,,J-Sect,,,,,,Welterweight Division,nan-nan,24.0,,0.0,0.0,68.4,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ChrisTuchscherer,Heavyweight,,0,0,0,0,46.6,68,2,68,146,0,,0,,,,,,,,,,,,,,,,,Active,,,49.0,"6' 2""",260 lbs,,,"76""",,,,,,,Heavyweight Division,nan-nan,68.0,,30.0,0.0,53.4,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ChrisWade,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,37.0,"5' 10""",148 lbs,,,"70""",Long Island MMA,,,,,,Lightweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ChrisWeidman,Middleweight,,0,0,0,0,53.1,926,44,926,1743,0,,5,,,,,,,,,,,,,,,,,Active,,,41.0,"6' 2""",194 lbs,,,"78""",Longo-Weidman MMA,,,,,,Middleweight Division,nan-nan,926.0,,660.0,0.0,46.9,0,75.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ChrisWilson,Lightweight,,0,0,0,0,63.2,237,5,237,375,0,,3,,,,,,,,,,,,,,,,,Active,,,,"6' 1""",170 lbs,,,"75""",,,,,,,Lightweight Division,nan-nan,237.0,,75.0,0.0,36.8,0,45.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ChuckLiddell,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,55.0,"6' 2""",205 lbs,,,"76.5""",The Pit,,,,,,Light Heavyweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ChuckO'Neil,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,39.0,"6' 2""",185 lbs,,,,,,,,,,Welterweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CindyDandois,Women's Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,40.0,"5' 7""",152 lbs,,,"70""",Perfect Team,,,,,,Women's Bantamweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CirylGane,Heavyweight,,0,0,0,0,63.2,978,8,978,1547,0,,3,,,,,,,,,,,,,,,,,Active,,,35.0,"6' 4""",245 lbs,,,"81""",MMA Factory,,,,,,Heavyweight Division,nan-nan,978.0,,120.0,0.0,36.8,0,45.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CJFernandes,,,0,0,0,0,67.0,63,1,63,94,0,,0,,,,,,,,,,,,,,,,,Active,,,47.0,"6' 0""",170 lbs,,,,,,,,,,nan Division,nan-nan,63.0,,15.0,0.0,33.0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
C.J.Hamilton,,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,"5' 7""",125 lbs,,,,,,,,,,nan Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CJVergara,Flyweight,,0,0,0,0,63.4,599,0,599,945,0,,2,,,,,,,,,,,,,,,,,Active,,,34.0,"5' 6""",126 lbs,,,"68""",Pete Spratt Muay Thai,,,,,,Flyweight Division,nan-nan,599.0,,0.0,0.0,36.6,0,30.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ClaudePatrick,Welterweight,,0,0,0,0,71.5,203,8,203,284,0,,0,,,,,,,,,,,,,,,,,Active,,,45.0,"5' 11""",170 lbs,,,"75""",Elite Mixed Fighters,,,,,,Welterweight Division,nan-nan,203.0,,120.0,0.0,28.5,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ClaudiaGadelha,Women's Strawweight,,0,0,0,0,50.9,891,36,891,1750,0,,1,,,,,,,,,,,,,,,,,Active,,,36.0,"5' 4""",115 lbs,,,"63""",Xtreme Couture,,,,,,Women's Strawweight Division,nan-nan,891.0,,540.0,0.0,49.1,0,15.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ClaudiaLeite,Women's Bantamweight,,0,0,0,0,57.7,41,1,41,71,0,,0,,,,,,,,,,,,,,,,,Active,,,28.0,"5' 3""",136 lbs,,,"64.5""",Astra Fight Team,,,,,,Women's Bantamweight Division,nan-nan,41.0,,15.0,0.0,42.3,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ClaudioPuelles,Lightweight,,0,0,0,0,65.2,322,19,322,494,0,,0,,,,,,,,,,,,,,,,,Active,,,29.0,"5' 10""",156 lbs,,,"72""",Brazilian Warriors BJJ,,,,,,Lightweight Division,nan-nan,322.0,,285.0,0.0,34.8,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ClaudioRibeiro,Middleweight,,0,0,0,0,60.8,152,1,152,250,0,,2,,,,,,,,,,,,,,,,,Active,,,32.0,"6' 1""",185 lbs,,,"77""",Brazilian Black Thai,,,,,,Middleweight Division,nan-nan,152.0,,15.0,0.0,39.2,0,30.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ClaudioSilva,Welterweight,,0,0,0,0,57.4,497,18,497,866,0,,0,,,,,,,,,,,,,,,,,Active,,,42.0,"5' 11""",170 lbs,,,"71""",London Shootfighters,,,,,,Welterweight Division,nan-nan,497.0,,270.0,0.0,42.6,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ClaytonCarpenter,Flyweight,,0,0,0,0,61.1,209,6,209,342,0,,0,,,,,,,,,,,,,,,,,Active,,,29.0,"5' 6""",125 lbs,,,"66""",MMA LAB,,,,,,Flyweight Division,nan-nan,209.0,,90.0,0.0,38.9,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ClayCollard,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,32.0,"6' 0""",155 lbs,,,"74""",Team Bonafide,,,,,,Featherweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ClayGuida,Lightweight,,0,0,0,0,44.8,1998,78,1998,4460,0,,6,,,,,,,,,,,,,,,,,Active,,,43.0,"5' 7""",155 lbs,,,"70""",Team Alpha Male,,,,,,Lightweight Division,nan-nan,1998.0,,1170.0,0.0,55.2,0,90.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ClayHarvison,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,44.0,"6' 1""",155 lbs,,,"74""",American Top Team Atlanta,,,,,,Lightweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CliffordStarks,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,44.0,"5' 10""",185 lbs,,,"77""",Arizona Combat Sports,,,,,,Middleweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ClintHester,Middleweight,,0,0,0,0,47.1,296,5,296,628,0,,3,,,,,,,,,,,,,,,,,Active,,,38.0,"6' 2""",205 lbs,,,"77""",Blackzilians,,,,,,Middleweight Division,nan-nan,296.0,,75.0,0.0,52.9,0,45.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CMPunk,Welterweight,,0,0,0,0,45.3,62,1,62,137,0,,0,,,,,,,,,,,,,,,,,Active,,,46.0,"6' 1""",170 lbs,,,"73""",Roufusport,,,,,,Welterweight Division,nan-nan,62.0,,15.0,0.0,54.7,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CodyBrundage,Middleweight,,0,0,0,0,64.4,326,10,326,506,0,,3,,,,,,,,,,,,,,,,,Active,,,31.0,"6' 0""",186 lbs,,,"72""",FactoryX Muay Thai,,,,,,Middleweight Division,nan-nan,326.0,,150.0,0.0,35.6,0,45.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CodyDonovan,Light Heavyweight,,0,0,0,0,64.0,135,2,135,211,0,,2,,,,,,,,,,,,,,,,,Active,,,44.0,"6' 3""",205 lbs,,,"74""",Grudge Training Center,,,,,,Light Heavyweight Division,nan-nan,135.0,,30.0,0.0,36.0,0,30.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CodyDurden,Flyweight,,0,0,0,0,50.7,643,34,643,1267,0,,1,,,,,,,,,,,,,,,,,Active,,,34.0,"5' 7""",126 lbs,,,"67""",American Top Team,,,,,,Flyweight Division,nan-nan,643.0,,510.0,0.0,49.3,0,15.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CodyEast,Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,36.0,"6' 3""",245 lbs,,,"77""",Jackson-Wink MMA,,,,,,Heavyweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CodyGarbrandt,Bantamweight,,0,0,0,0,42.4,516,10,516,1217,0,,11,,,,,,,,,,,,,,,,,Active,,,34.0,"5' 8""",136 lbs,,,"65.5""",Team Alpha Male,,,,,,Bantamweight Division,nan-nan,516.0,,150.0,0.0,57.6,0,165.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CodyGibson,Bantamweight,,0,0,0,0,51.3,480,14,480,935,0,,2,,,,,,,,,,,,,,,,,Active,,,37.0,"5' 10""",136 lbs,,,"71""",Xtreme Couture,,,,,,Bantamweight Division,nan-nan,480.0,,210.0,0.0,48.7,0,30.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CodyHaddon,Bantamweight,,0,0,0,0,54.3,188,3,188,346,0,,1,,,,,,,,,,,,,,,,,Active,,,26.0,"5' 7""",135 lbs,,,"69""",Luistro Combat Academy,,,,,,Bantamweight Division,nan-nan,188.0,,45.0,0.0,45.7,0,15.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CodyMcKenzie,,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,37.0,"6' 0""",170 lbs,,,"72""",Cesar Gracie Jiu-Jitsu,,,,,,nan Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CodyPfister,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,34.0,"5' 10""",155 lbs,,,"73""",,,,,,,Lightweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CodyStamann,Bantamweight,,0,0,0,0,53.5,1038,26,1038,1941,0,,2,,,,,,,,,,,,,,,,,Active,,,35.0,"5' 6""",135 lbs,,,"64.5""",Michigan Top Team,,,,,,Bantamweight Division,nan-nan,1038.0,,390.0,0.0,46.5,0,30.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ColbyCovington,Welterweight,,0,0,0,0,51.7,2043,70,2043,3953,0,,1,,,,,,,,,,,,,,,,,Active,,,37.0,"5' 11""",171 lbs,,,"72""",MMA Masters,,,,,,Welterweight Division,nan-nan,2043.0,,1050.0,0.0,48.3,0,15.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ColbyThicknesse,Bantamweight,,0,0,0,0,30.5,40,0,40,131,0,,0,,,,,,,,,,,,,,,,,Active,,,26.0,"5' 9""",135 lbs,,,"69""",Freestyle Fighting Gym,,,,,,Bantamweight Division,nan-nan,40.0,,0.0,0.0,69.5,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ColeEscovedo,Bantamweight,,0,0,0,0,53.7,109,2,109,203,0,,0,,,,,,,,,,,,,,,,,Active,,,43.0,"5' 7""",135 lbs,,,"72""",,,,,,,Bantamweight Division,nan-nan,109.0,,30.0,0.0,46.3,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ColeMiller,Featherweight,,0,0,0,0,40.3,832,8,832,2064,0,,4,,,,,,,,,,,,,,,,,Active,,,41.0,"6' 1""",145 lbs,,,"74""",American Top Team,,,,,,Featherweight Division,nan-nan,832.0,,120.0,0.0,59.7,0,60.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ColeSmith,Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,36.0,"5' 11""",135 lbs,,,"67""",The Sound Martial Arts,,,,,,Bantamweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ColinFletcher,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,42.0,"6' 2""",170 lbs,,,"78""",United Gym,,,,,,Lightweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ColinRobinson,,,0,0,0,0,79.7,63,1,63,79,0,,0,,,,,,,,,,,,,,,,,Active,,,56.0,"6' 4""",243 lbs,,,,,,,,,,nan Division,nan-nan,63.0,,15.0,0.0,20.3,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CollinAnglin,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,32.0,"5' 9""",146 lbs,,,"71""",FactoryX Muay Thai,,,,,,Featherweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CollinHart,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,35.0,"6' 2""",185 lbs,,,"76""",Nor-Cal Fighting Alliance,,,,,,Middleweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CollinHuckbody,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,30.0,"6' 3""",185 lbs,,,"76""",MMA LAB,,,,,,Middleweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ColtinCole,,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,36.0,"6' 2""",185 lbs,,,,,,,,,,nan Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ColtonSmith,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,37.0,"6' 0""",170 lbs,,,"71""",Vanguard,,,,,,Lightweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ConnorMatthews,Featherweight,,0,0,0,0,45.0,254,10,254,564,0,,0,,,,,,,,,,,,,,,,,Active,,,33.0,"5' 8""",145 lbs,,,"71""",New England Cartel,,,,,,Featherweight Division,nan-nan,254.0,,150.0,0.0,55.0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
ConorMcGregor,Lightweight,,0,0,0,0,56.4,797,5,797,1413,0,,13,,,,,,,,,,,,,,,,,Active,,,36.0,"5' 9""",156 lbs,,,"74""",SBG Ireland,,,,,,Lightweight Division,nan-nan,797.0,,75.0,0.0,43.6,0,195.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CoreyAnderson,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,35.0,"6' 3""",205 lbs,,,"79""",The Kennel Fight Club,,,,,,Light Heavyweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CoreyHill,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,46.0,"6' 4""",170 lbs,,,"80""",,,,,,,Welterweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CorinneLaframboise,Women's Flyweight,,0,0,0,0,78.1,25,1,25,32,0,,0,,,,,,,,,,,,,,,,,Active,,,36.0,"5' 4""",126 lbs,,,"65""",BTT Canada,,,,,,Women's Flyweight Division,nan-nan,25.0,,15.0,0.0,21.9,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CortaviousRomious,Bantamweight,,0,0,0,0,48.8,119,6,119,244,0,,1,,,,,,,,,,,,,,,,,Active,,,31.0,"5' 4""",139 lbs,,,"68""",Pura Vida BJJ,,,,,,Bantamweight Division,nan-nan,119.0,,90.0,0.0,51.2,0,15.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CortneyCasey,Women's Flyweight,,0,0,0,0,49.0,1266,5,1266,2585,0,,0,,,,,,,,,,,,,,,,,Active,,,38.0,"5' 7""",125 lbs,,,"67""",MMA LAB,,,,,,Women's Flyweight Division,nan-nan,1266.0,,75.0,0.0,51.0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CoryHendricks,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,37.0,"6' 3""",204 lbs,,,"73""",Syndicate MMA,,,,,,Light Heavyweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CoryMcKenna,Women's Strawweight,,0,0,0,0,54.1,594,11,594,1097,0,,0,,,,,,,,,,,,,,,,,Active,,,25.0,"5' 3""",115 lbs,,,"58.5""",Team Alpha Male,,,,,,Women's Strawweight Division,nan-nan,594.0,,165.0,0.0,45.9,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CorySandhagen,Bantamweight,,0,0,0,0,50.4,1440,18,1440,2855,0,,4,,,,,,,,,,,,,,,,,Active,,,33.0,"5' 11""",135 lbs,,,"70""",Elevation Fight Team,,,,,,Bantamweight Division,nan-nan,1440.0,,270.0,0.0,49.6,0,60.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CoryWalmsley,Light Heavyweight,,0,0,0,0,100.0,13,0,13,13,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,Light Heavyweight Division,nan-nan,13.0,,0.0,0.0,0.0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CourtneyTurner,Lightweight,,0,0,0,0,0.0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,Lightweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CourtMcGee,Welterweight,,0,0,0,0,44.0,1909,36,1909,4334,0,,3,,,,,,,,,,,,,,,,,Active,,,40.0,"5' 11""",170 lbs,,,"75""",The Pit Elevated Fight Team,,,,,,Welterweight Division,nan-nan,1909.0,,540.0,0.0,56.0,0,45.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CraftonWallace,Middleweight,,0,0,0,0,56.0,28,0,28,50,0,,0,,,,,,,,,,,,,,,,,Active,,,,,185 lbs,,,,,,,,,,Middleweight Division,nan-nan,28.0,,0.0,0.0,44.0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CraigWhite,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,34.0,"6' 2""",185 lbs,,,"76""",Team Lionheart,,,,,,Welterweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CristianoMarcello,Lightweight,,0,0,0,0,42.1,285,2,285,677,0,,0,,,,,,,,,,,,,,,,,Active,,,,"5' 9""",155 lbs,,,"72""",CM System,,,,,,Lightweight Division,nan-nan,285.0,,30.0,0.0,57.9,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CristianPerez,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,,155 lbs,,,,,,,,,,Lightweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CristianQuiñonez,Bantamweight,,0,0,0,0,43.3,157,3,157,363,0,,1,,,,,,,,,,,,,,,,,Active,,,29.0,"5' 8""",135 lbs,,,"70""",Entram Gym,,,,,,Bantamweight Division,nan-nan,157.0,,45.0,0.0,56.7,0,15.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CristinaStanciu,Women's Strawweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,31.0,"5' 4""",115 lbs,,,"64""",,,,,,,Women's Strawweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CrisCyborg,Women's Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,39.0,"5' 8""",144 lbs,,,"69""",Chute Boxe,,,,,,Women's Featherweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CubSwanson,Featherweight,,0,0,0,0,55.6,1888,14,1888,3395,0,,10,,,,,,,,,,,,,,,,,Active,,,41.0,"5' 8""",146 lbs,,,"70""",Bloodline Combat,,,,,,Featherweight Division,nan-nan,1888.0,,210.0,0.0,44.4,0,150.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CungLe,Middleweight,,0,0,0,0,42.1,136,2,136,323,0,,1,,,,,,,,,,,,,,,,,Active,,,53.0,"5' 10""",185 lbs,,,"70""",Cung Le's Universal Strength Headquarters,,,,,,Middleweight Division,nan-nan,136.0,,30.0,0.0,57.9,0,15.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CurtisBlaydes,Heavyweight,,0,0,0,0,61.1,1122,64,1122,1836,0,,2,,,,,,,,,,,,,,,,,Active,,,34.0,"6' 4""",256 lbs,,,"80""",Elevation Fight Team,,,,,,Heavyweight Division,nan-nan,1122.0,,960.0,0.0,38.9,0,30.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CurtisMillender,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,37.0,"6' 2""",170 lbs,,,"78""",CSW,,,,,,Welterweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CurtisStout,Middleweight,,0,0,0,0,92.8,64,0,64,69,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,Middleweight Division,nan-nan,64.0,,0.0,0.0,7.2,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CurtWarburton,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,"6' 0""",155 lbs,,,"73""",Nevt,,,,,,Lightweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CynthiaCalvillo,Women's Flyweight,,0,0,0,0,42.0,828,19,828,1972,0,,0,,,,,,,,,,,,,,,,,Active,,,37.0,"5' 4""",115 lbs,,,"64""",Syndicate MMA,,,,,,Women's Flyweight Division,nan-nan,828.0,,285.0,0.0,58.0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CyrilleDiabate,Light Heavyweight,,0,0,0,0,80.2,430,7,430,536,0,,3,,,,,,,,,,,,,,,,,Active,,,52.0,"6' 6""",205 lbs,,,"81""",Snake Team,,,,,,Light Heavyweight Division,nan-nan,430.0,,105.0,0.0,19.8,0,45.0,0,,,,,,,0,0,No,,Mixed Martial Arts
CyrilAsker,Heavyweight,,0,0,0,0,54.2,148,5,148,273,0,,0,,,,,,,,,,,,,,,,,Active,,,39.0,"6' 0""",250 lbs,,,"74""",Bushido Academie,,,,,,Heavyweight Division,nan-nan,148.0,,75.0,0.0,45.8,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
Da'MonBlackshear,Bantamweight,,0,0,0,0,52.0,585,10,585,1125,0,,0,,,,,,,,,,,,,,,,,Active,,,30.0,"5' 10""",136 lbs,,,"72""",Kill Cliff FC,,,,,,Bantamweight Division,nan-nan,585.0,,150.0,0.0,48.0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
DaermisiZhawupasi,Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,25.0,"5' 8""",135 lbs,,,"68""",China Top Team,,,,,,Bantamweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
