Name,Division Tr,Division Rk,Wins by Kn,Wins by Su,First Roun,Wins by De,Striking ac,Sig. Strike,Takedownr,Sig. Str. La,Sig. Str. At,Submissio,Sig. Str. De,Knockdow,Average Sig,Event_1_H,Event_1_D,Event_1_R,Event_1_Ti,Event_1_M,Event_2_H,Event_2_D,Event_2_R,Event_2_Ti,Event_2_M,Event_3_H,Event_3_D,Event_3_R,Event_3_Ti,Event_3_M,Status,Place_ct,Fighting_s,Age,Height,Weight,Octagon_Reach,Leg_reach,Reach,Trains_at,Fight,Win,Title,Defeat,Former Champion
Adriano Martins,Lightweight,28-11-0,13,3,0,28,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Brazil,Southpaw,43,"5' 10""",155 lbs,,,"72""",Top Life Amazonas,,,,,
Adriano Santos,Middleweight,0-1-0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,--,,,,,,,,,,,,
Adrian Diaz,Featherweight,11-5-1,4,5,0,11,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Southpaw,37,"5' 10""",145 lbs,,,,Team Alpha Male,,,,,
Adrian Serrano,,2-3-0,0,2,0,2,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,--,,,,,,,,,,,,
Adrian Yanez,Bantamweight,17-6-0,11,2,0,17,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,31,"5' 7""",136 lbs,,,"70""",Metro Fight Club,,,,,
Ahejiang Ailinuer,Featherweight,0-0-0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,China,--,,"5' 10""",145 lbs,,,"70""",,,,,,
Ahmad Hassanzada,Lightweight,12-3-0,5,6,0,12,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Afghanistan,Orthodox,28,"6' 1""",155 lbs,,,"75""",Team Alpha Male,,,,,
Aiemann Zahabi,Featherweight,13-2-0,6,2,0,13,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Canada,Orthodox,37,"5' 8""",142 lbs,,,"68.5""",TriStar Gym,,,,,
Ailin Perez,Women's Bantamweight,12-2-0,4,2,0,12,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Argentina,Switch,30,"5' 5""",135 lbs,,,"66""",The Goat Shed,,,,,
Aisling Daly,Women's Strawweight,16-6-0,5,8,0,16,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Ireland,Orthodox,37,"5' 3""",115 lbs,,,"64""",,,,,,
AJ Cunningham,Bantamweight,11-5-0,4,4,0,11,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,30,"5' 10""",136 lbs,,,"71""",Law School MMA,,,,,
AJ Dobson,Middleweight,7-3-0,3,2,0,7,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,33,"6' 1""",185 lbs,,,"76""",Carlson Gracie Team Ohio,,,,,
AJ Fletcher,Welterweight,10-4-0,4,5,0,10,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Switch,28,"5' 10""",170 lbs,,,"67""",Gladiators Academy Of Lafayette,,,,,
Akbarh Arreola,Lightweight,23-11-1,5,17,0,23,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Mexico,Southpaw,42,"5' 10""",155 lbs,,,"71""",Entram Gym,,,,,
Akihiro Gono,,11-11-2,1,5,0,11,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Japan,Switch,50,"5' 9""",170 lbs,,,"68""",,,,,,
Akira Corassani,Featherweight,12-7-0,1,3,0,12,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Sweden,Orthodox,42,"5' 8""",145 lbs,,,"68""",Renzo Gracie Jiu-Jitsu,,,,,
Akitoshi Tamura,,2-6-0,0,1,0,2,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,Orthodox,,,,,,"70""",,,,,,
Alan Baudot,Light Heavyweight,8-4-0,7,0,0,8,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,France,Orthodox,37,"6' 3""",253 lbs,,,"79""",MMA Factory,,,,,
Alan Belcher,Middleweight,18-8-0,10,6,0,18,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,Orthodox,41,"6' 2""",185 lbs,,,"75""",Remix MMA,,,,,
Alan Jouban,Welterweight,17-7-0,11,0,0,17,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Southpaw,43,"6' 0""",170 lbs,,,"73.5""",Black House,,,,,
Alan Omer,Featherweight,24-5-0,9,12,0,24,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Iraq,Orthodox,36,"5' 9""",155 lbs,,,"71""",,,,,,
Alan Patrick,Lightweight,15-4-0,4,2,0,15,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Brazil,Southpaw,41,"5' 11""",156 lbs,,,"74""",Chute Boxe,,,,,
Alatengheili,Bantamweight,17-10-2,5,3,0,17,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,China,Orthodox,33,"5' 5""",136 lbs,,,"66""",Fight Ready,,,,,
Alberta Cerra,Open Weight,0-1-0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,--,,,238 lbs,,,,,,,,,
Alberto Crane,,2-3-0,0,1,0,2,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,Orthodox,48,"5' 5""",155 lbs,,,,,,,,,
Alberto Mina,Welterweight,13-1-0,6,6,0,13,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Brazil,Orthodox,43,"6' 0""",170 lbs,,,"77.5""",Epic MMA,,,,,
Alberto Montes,Featherweight,11-1-0,1,6,0,11,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Venezuela,Orthodox,31,"5' 7""",145 lbs,,,"69""",The Goat Shed,,,,,
Alberto Pereira,,0-1-0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Brazil,--,40,"6' 3""",185 lbs,,,,,,,,,
Albert Cheng,Welterweight,2-3-0,0,1,0,2,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,Orthodox,,"5' 11""",170 lbs,,,,,,,,,
Albert Duraev,Middleweight,16-5-0,3,9,0,16,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Russia,Orthodox,36,"5' 11""",186 lbs,,,"75""",Xtreme Couture,,,,,
Albert Morales,Bantamweight,12-9-1,4,5,0,12,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,34,"5' 9""",135 lbs,,,"72""",Systems Training Center,,,,,
Albert Tumenov,Welterweight,21-4-0,13,0,0,21,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Russia,Orthodox,33,"5' 11""",170 lbs,,,"73""",American Top Team,,,,,
Alejandro Flores,Featherweight,21-4-0,7,2,0,21,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Mexico,Orthodox,33,"5' 9""",146 lbs,,,"74""",Valle Flow Striking,,,,,
Alejandro Perez,Bantamweight,23-9-1,10,6,0,23,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Mexico,Orthodox,35,"5' 6""",144 lbs,,,"67""",AKA (American Kickboxing Academy),,,,,
Aleksandar Rakic,Light Heavyweight,14-5-0,9,1,0,14,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Serbia,Orthodox,33,"6' 4""",206 lbs,,,"78""",American Top Team Zagreb,,,,,
Aleksandre Topuria,Bantamweight,6-1-0,3,2,0,6,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Georgia,Orthodox,29,"5' 7""",135 lbs,,,"68""",Climent Club,,,,,
Aleksa Camur,Light Heavyweight,6-3-0,5,0,0,6,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Bosnia & Herzegovina,Orthodox,29,"6' 1""",205 lbs,,,"74""",Strong Style Fight Team,,,,,
Aleksei Kunchenko,Welterweight,20-4-0,13,1,0,20,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Russia,Orthodox,41,"5' 8""",170 lbs,,,"72""",Boets MMA,,,,,
Aleksei Oleinik,Heavyweight,61-17-1,8,48,0,61,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Russia,Orthodox,48,"6' 2""",254 lbs,,,"80""",American Top Team,,,,,
Alen Amedovski,Middleweight,8-4-0,8,0,0,8,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Macedonia,Orthodox,37,"5' 10""",185 lbs,,,"74""",Xtreme Couture,,,,,
Alessandro Costa,Flyweight,14-4-0,5,6,0,14,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Brazil,Orthodox,29,"5' 4""",125 lbs,,,"67""",Brazilian Warriors BJJ,,,,,
Alessandro Ricci,Lightweight,10-5-0,5,0,0,10,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Canada,Orthodox,42,"5' 11""",155 lbs,,,"69""",,,,,,
Alessio Di Chirico,Middleweight,13-7-0,6,4,0,13,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Italy,Orthodox,35,"6' 0""",186 lbs,,,"74""",Gloria Fight Center,,,,,
Alessio Sakara,Middleweight,21-13-0,15,2,0,21,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Italy,Orthodox,43,"6' 0""",205 lbs,,,"72""",American Top Team,,,,,
Alexander Gustafsson,Light Heavyweight,18-8-0,11,3,0,18,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Sweden,Orthodox,38,"6' 5""",205 lbs,,,"79""",Allstars Training Center,,,,,
Alexander Hernandez,Lightweight,16-8-0,6,2,0,16,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,32,"5' 9""",156 lbs,,,"72""",Mile High Militia,,,,,
Alexander Morgan,Bantamweight,11-5-0,6,0,0,11,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Canada,Orthodox,34,"5' 10""",144 lbs,,,"71""",TriStar Gym,,,,,
Alexander Munoz,Lightweight,7-2-0,2,1,0,7,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Switch,35,"5' 9""",156 lbs,,,"72""",Team Alpha Male,,,,,
Alexander Poppeck,Light Heavyweight,12-4-0,7,0,0,12,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Germany,Orthodox,33,"6' 2""",205 lbs,,,,Munich MMA,,,,,
Alexander Soldatkin,Heavyweight,14-4-0,10,2,0,14,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Germany,Orthodox,32,"6' 2""",246 lbs,,,"75""",Spitfire Gym,,,,,
Alexander Volkanovski,Featherweight,27-4-0,13,3,0,27,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Australia,Orthodox,36,"5' 6""",145 lbs,,,"71.5""",City Kickboxing,,,,,
Alexander Volkov,Heavyweight,38-11-0,24,4,0,38,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Russia,Orthodox,36,"6' 7""",254 lbs,,,"80""",Strela Team,,,,,
Alexander Yakovlev,Lightweight,24-11-1,9,9,0,24,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Russia,Southpaw,40,"6' 3""",155 lbs,,,"74""",K Dojo,,,,,
Alexandra Albu,Women's Strawweight,7-2-0,4,2,0,7,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Russia,Orthodox,34,"5' 2""",115 lbs,,,"63""",MMA-KEGI,,,,,
Alexandre Barros,,0-7-0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,Southpaw,,"5' 9""",170 lbs,,,,,,,,,
Alexandre Dantas,Heavyweight,0-2-0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,Orthodox,,,,,,,,,,,,
Alexandre Ferreira,Light Heavyweight,18-6-0,0,15,0,18,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,Orthodox,46,"5' 7""",205 lbs,,,,Chute Boxe,,,,,
Alexandre Nogueira,,1-3-1,1,0,0,1,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,Orthodox,,,,,,,,,,,,
Alexandre Pantoja,Flyweight,30-5-0,8,12,0,30,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Brazil,Orthodox,35,"5' 5""",125 lbs,,,"67.5""",American Top Team,,,,,
Alexandr Romanov,Heavyweight,19-3-0,6,10,0,19,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Moldova,Southpaw,34,"6' 2""",261 lbs,,,"75""",Lion Club,,,,,
Alexa Grasso,Women's Flyweight,16-5-1,4,2,0,16,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Mexico,Orthodox,31,"5' 5""",126 lbs,,,"66""",Lobo Gym MMA,,,,,
Alexia Thainara,Women's Strawweight,12-1-0,1,7,0,12,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Brazil,Orthodox,29,"5' 4""",116 lbs,,,"67""",Ribas Family,,,,,
Alexis Davis,Women's Flyweight,21-11-0,2,8,0,21,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Canada,Orthodox,40,"5' 6""",135 lbs,,,"68""",Combat Sports Academy,,,,,
Alexis Dufresne,Women's Bantamweight,6-3-0,3,3,0,6,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,34,"5' 9""",145 lbs,,,"68.5""",Team Quest -Portland,,,,,
