Player,Date,Opponent,Event,Result,SCBL,SCBA,SCHL,SCHA,SCLL,SCLA,RV,SR,TDL,TDA,TDS,TK ACC
NikitaKrylov,"Mar 8, 2013",Vladimir Mishchenko,OC,L,-,-,-,-,-,-,-,-,-,-,-,-
NikitaKrylov,"Jan 19, 2013",Julian Bogdanov,GFC,W,-,-,-,-,-,-,-,-,-,-,-,-
NikitaKrylov,"Jan 19, 2013",Kilichbek Sarkarboev,GFC,W,-,-,-,-,-,-,-,-,-,-,-,-
NikitaKrylov,"Dec 29, 2012",Vladimir Mishchenko,OC,L,-,-,-,-,-,-,-,-,-,-,-,-
NikitaKrylov,"Dec 22, 2012",Denis Simkin,GFC,W,-,-,-,-,-,-,-,-,-,-,-,-
NikitaKrylov,"Nov 9, 2012",Valery Scherbakov,WH,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
NikitaKrylov,"Oct 20, 2012",Vladimir Gerasimchik,OC,W,-,-,-,-,-,-,-,-,-,-,-,-
NikitaKrylov,"Oct 13, 2012",Igor Kukurudziak,ECSF,W,-,-,-,-,-,-,-,-,-,-,-,-
NikitaKrylov,"Oct 2, 2012",Viktor Smirnov,ECSF,W,-,-,-,-,-,-,-,-,-,-,-,-
NikitaKrylov,"Sep 15, 2012",Anatoliy Didenko,OC,W,-,-,-,-,-,-,-,-,-,-,-,-
NikitaKrylov,"Sep 14, 2012",Alexey Stepanov,ECSF,W,-,-,-,-,-,-,-,-,-,-,-,-
NikitaKrylov,"Aug 26, 2012",Svyatoslav Scherbakov,ECSF,W,-,-,-,-,-,-,-,-,-,-,-,-
NikitaKrylov,"Aug 18, 2012",Anatoliy Didenko,ECSF,W,-,-,-,-,-,-,-,-,-,-,-,-
NikitaKrylov,"Aug 16, 2012",Alexey Artemenko,BBF,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
NikitaKrylov,"Aug 10, 2012",Denis Bogdanov,ECSF,W,-,-,-,-,-,-,-,-,-,-,-,-
NikitaKrylov,"Jul 27, 2012",Alexander Umrikhin,WF,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
Reinierde Ridder,"Jul 26, 2025",Robert Whittaker,UFC Fight Night,W,8,8,1,3,0,0,0,0.000,2,15,0,13%
Reinierde Ridder,"May 3, 2025",Bo Nickal,UFC Fight Night,W,11,12,4,5,0,0,0,0.000,0,3,0,0%
Reinierde Ridder,"Jan 18, 2025",Kevin Holland,UFC 311,W,0,0,0,0,0,0,0,0.000,2,2,0,100%
Reinierde Ridder,"Nov 9, 2024",Gerald Meerschaert,UFC Fight Night,W,1,1,2,3,0,0,0,0.000,5,13,0,38%
Reinierde Ridder,"Jul 27, 2024",Magomedmurad Khasaev,UAE Warriors 51,W,-,-,-,-,-,-,-,-,-,-,-,-
